Id,Name,Tactics,Source,Confidence,Match Type,Description,Url
T0883,Internet Accessible Device,Initial Access,ICS,High,Explicit T-ID,Adversaries may gain access into industrial environments through systems exposed directly to the internet for remote access rather than through [External Remote Services](https://attack.mitre.org/tech,https://attack.mitre.org/techniques/T0883/
T0885,Commonly Used Port,Command And Control,ICS,High,Explicit T-ID,"Adversaries may communicate over a commonly used port to bypass firewalls or network detection systems and to blend in with normal network activity, to avoid more detailed inspection. They may use the",https://attack.mitre.org/techniques/T0885/
T1219,Remote Access Tools,Command And Control,Enterprise,High,Explicit T-ID,An adversary may use legitimate remote access tools to establish an interactive command and control channel within a network. Remote access tools create a session between two trusted hosts through a g,https://attack.mitre.org/techniques/T1219/
T1565,Data Manipulation,Impact,Enterprise,High,Explicit T-ID,"Adversaries may insert, delete, or manipulate data in order to influence external outcomes or hide activity, thus threatening the integrity of the data.(Citation: Sygnia Elephant Beetle Jan 2022) By m",https://attack.mitre.org/techniques/T1565/
T0889,Modify Program,Persistence,ICS,Medium,Keyword Match,"Adversaries may modify or add a program on a controller to affect how it interacts with the physical process, peripheral devices and other hosts on the network. Modification to controller programs can",https://attack.mitre.org/techniques/T0889/
T1021.001,Remote Desktop Protocol,Lateral Movement,Enterprise,Medium,Keyword Match,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into a computer using the Remote Desktop Protocol (RDP). The adversary may then perform actions as the logged-on ,https://attack.mitre.org/techniques/T1021/001/
T1090,Proxy,Command And Control,Enterprise,Medium,Keyword Match,Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid direct connections to the,https://attack.mitre.org/techniques/T1090/
T1110,Brute Force,Credential Access,Enterprise,Medium,Keyword Match,Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained.(Citation: TrendMicro Pawn Storm Dec 2020) Without knowledge of th,https://attack.mitre.org/techniques/T1110/
T1566,Phishing,Initial Access,Enterprise,Medium,Keyword Match,"Adversaries may send phishing messages to gain access to victim systems. All forms of phishing are electronically delivered social engineering. Phishing can be targeted, known as spearphishing. In spe",https://attack.mitre.org/techniques/T1566/
T1588.006,Vulnerabilities,Resource Development,Enterprise,Medium,Keyword Match,"Adversaries may acquire information about vulnerabilities that can be used during targeting. A vulnerability is a weakness in computer hardware or software that can, potentially, be exploited by an ad",https://attack.mitre.org/techniques/T1588/006/
T1590.005,IP Addresses,Reconnaissance,Enterprise,Medium,Keyword Match,"Adversaries may gather the victim's IP addresses that can be used during targeting. Public IP addresses may be allocated to organizations by block, or a range of sequential addresses. Information abou",https://attack.mitre.org/techniques/T1590/005/
T1592.002,Software,Reconnaissance,Enterprise,Medium,Keyword Match,Adversaries may gather information about the victim's host software that can be used during targeting. Information about installed software may include a variety of details such as types and versions ,https://attack.mitre.org/techniques/T1592/002/
